  0%|                                                                                                                                                   | 0/83 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                               
{'loss': 9.1861, 'grad_norm': 114.1588134765625, 'learning_rate': 4.9397590361445786e-05, 'epoch': 0.01}
{'loss': 0.0869, 'grad_norm': 2.0829315185546875, 'learning_rate': 3.4939759036144585e-05, 'epoch': 0.3}
{'loss': 0.0779, 'grad_norm': 1.576630711555481, 'learning_rate': 3.433734939759036e-05, 'epoch': 0.31}
{'loss': 0.0894, 'grad_norm': 1.0221768617630005, 'learning_rate': 3.3734939759036146e-05, 'epoch': 0.32}
{'loss': 0.0541, 'grad_norm': 0.8946007490158081, 'learning_rate': 3.313253012048193e-05, 'epoch': 0.34}
{'loss': 0.0382, 'grad_norm': 0.5740000009536743, 'learning_rate': 3.253012048192771e-05, 'epoch': 0.35}
{'loss': 0.0292, 'grad_norm': 0.49252280592918396, 'learning_rate': 3.192771084337349e-05, 'epoch': 0.36}
{'loss': 0.0374, 'grad_norm': 0.49047598242759705, 'learning_rate': 3.132530120481928e-05, 'epoch': 0.37}
{'loss': 0.043, 'grad_norm': 0.5208426713943481, 'learning_rate': 3.072289156626506e-05, 'epoch': 0.38}
{'loss': 0.0209, 'grad_norm': 0.2854659855365753, 'learning_rate': 3.012048192771085e-05, 'epoch': 0.4}
{'loss': 0.019, 'grad_norm': 0.33871614933013916, 'learning_rate': 2.951807228915663e-05, 'epoch': 0.41}
{'loss': 0.033, 'grad_norm': 0.43916618824005127, 'learning_rate': 2.891566265060241e-05, 'epoch': 0.42}
{'loss': 0.0204, 'grad_norm': 0.34156930446624756, 'learning_rate': 2.8313253012048197e-05, 'epoch': 0.43}
{'loss': 0.0201, 'grad_norm': 0.23431342840194702, 'learning_rate': 2.7710843373493977e-05, 'epoch': 0.44}
{'loss': 0.0118, 'grad_norm': 0.16613443195819855, 'learning_rate': 2.7108433734939758e-05, 'epoch': 0.46}
{'loss': 0.015, 'grad_norm': 0.22104798257350922, 'learning_rate': 2.6506024096385545e-05, 'epoch': 0.47}
{'loss': 0.0141, 'grad_norm': 0.27339473366737366, 'learning_rate': 2.5903614457831325e-05, 'epoch': 0.48}
{'loss': 0.0165, 'grad_norm': 0.16600625216960907, 'learning_rate': 2.530120481927711e-05, 'epoch': 0.49}
{'loss': 0.0135, 'grad_norm': 0.17329344153404236, 'learning_rate': 2.4698795180722893e-05, 'epoch': 0.5}
{'loss': 0.0207, 'grad_norm': 0.31739258766174316, 'learning_rate': 2.4096385542168677e-05, 'epoch': 0.51}
{'loss': 0.0079, 'grad_norm': 0.21262606978416443, 'learning_rate': 2.349397590361446e-05, 'epoch': 0.53}
{'loss': 0.0116, 'grad_norm': 0.1615408957004547, 'learning_rate': 2.289156626506024e-05, 'epoch': 0.54}
{'loss': 0.0153, 'grad_norm': 0.1009063869714737, 'learning_rate': 2.2289156626506025e-05, 'epoch': 0.55}
{'loss': 0.0097, 'grad_norm': 0.1510382443666458, 'learning_rate': 2.168674698795181e-05, 'epoch': 0.56}
{'loss': 0.0088, 'grad_norm': 0.11934204399585724, 'learning_rate': 2.1084337349397593e-05, 'epoch': 0.57}
{'loss': 0.0072, 'grad_norm': 0.2968343198299408, 'learning_rate': 2.0481927710843373e-05, 'epoch': 0.59}
{'loss': 0.0134, 'grad_norm': 0.08208036422729492, 'learning_rate': 1.9879518072289157e-05, 'epoch': 0.6}
{'loss': 0.0079, 'grad_norm': 0.17870676517486572, 'learning_rate': 1.927710843373494e-05, 'epoch': 0.61}
{'loss': 0.0049, 'grad_norm': 0.11722303926944733, 'learning_rate': 1.867469879518072e-05, 'epoch': 0.62}
{'loss': 0.0126, 'grad_norm': 0.09766506403684616, 'learning_rate': 1.8072289156626505e-05, 'epoch': 0.63}
{'loss': 0.018, 'grad_norm': 2.7585232257843018, 'learning_rate': 1.7469879518072292e-05, 'epoch': 0.65}
{'loss': 0.0074, 'grad_norm': 0.1385246366262436, 'learning_rate': 1.6867469879518073e-05, 'epoch': 0.66}
{'loss': 0.007, 'grad_norm': 0.09341733157634735, 'learning_rate': 1.6265060240963857e-05, 'epoch': 0.67}
{'loss': 0.01, 'grad_norm': 0.08125609159469604, 'learning_rate': 1.566265060240964e-05, 'epoch': 0.68}
{'loss': 0.0064, 'grad_norm': 0.19174142181873322, 'learning_rate': 1.5060240963855424e-05, 'epoch': 0.69}
{'loss': 0.0066, 'grad_norm': 0.24655255675315857, 'learning_rate': 1.4457831325301205e-05, 'epoch': 0.71}
{'loss': 0.0101, 'grad_norm': 0.0880952924489975, 'learning_rate': 1.3855421686746989e-05, 'epoch': 0.72}
{'loss': 0.0044, 'grad_norm': 0.13313859701156616, 'learning_rate': 1.3253012048192772e-05, 'epoch': 0.73}
{'loss': 0.0084, 'grad_norm': 0.16199858486652374, 'learning_rate': 1.2650602409638555e-05, 'epoch': 0.74}
{'loss': 0.0056, 'grad_norm': 0.1538144052028656, 'learning_rate': 1.2048192771084338e-05, 'epoch': 0.75}
{'loss': 0.0121, 'grad_norm': 0.19892801344394684, 'learning_rate': 1.144578313253012e-05, 'epoch': 0.77}
{'loss': 0.0101, 'grad_norm': 0.2772809863090515, 'learning_rate': 1.0843373493975904e-05, 'epoch': 0.78}
{'loss': 0.0056, 'grad_norm': 0.14419379830360413, 'learning_rate': 1.0240963855421687e-05, 'epoch': 0.79}
{'loss': 0.008, 'grad_norm': 0.2582215964794159, 'learning_rate': 9.63855421686747e-06, 'epoch': 0.8}
{'loss': 0.0041, 'grad_norm': 0.09581217914819717, 'learning_rate': 9.036144578313253e-06, 'epoch': 0.81}
{'loss': 0.0041, 'grad_norm': 0.13379287719726562, 'learning_rate': 8.433734939759036e-06, 'epoch': 0.83}
{'loss': 0.002, 'grad_norm': 0.09995278716087341, 'learning_rate': 7.83132530120482e-06, 'epoch': 0.84}
{'loss': 0.0124, 'grad_norm': 0.11274789273738861, 'learning_rate': 7.228915662650602e-06, 'epoch': 0.85}
{'loss': 0.0092, 'grad_norm': 0.0718037560582161, 'learning_rate': 6.626506024096386e-06, 'epoch': 0.86}
{'loss': 0.009, 'grad_norm': 0.09658752381801605, 'learning_rate': 6.024096385542169e-06, 'epoch': 0.87}
{'loss': 0.0017, 'grad_norm': 0.09045074135065079, 'learning_rate': 5.421686746987952e-06, 'epoch': 0.89}
{'loss': 0.01, 'grad_norm': 0.1399289220571518, 'learning_rate': 4.819277108433735e-06, 'epoch': 0.9}
{'loss': 0.0125, 'grad_norm': 0.13765278458595276, 'learning_rate': 4.216867469879518e-06, 'epoch': 0.91}
{'loss': 0.0043, 'grad_norm': 0.10532036423683167, 'learning_rate': 3.614457831325301e-06, 'epoch': 0.92}
{'loss': 0.0043, 'grad_norm': 0.14720593392848969, 'learning_rate': 3.0120481927710846e-06, 'epoch': 0.93}
{'loss': 0.0071, 'grad_norm': 0.20365498960018158, 'learning_rate': 2.4096385542168676e-06, 'epoch': 0.95}
{'loss': 0.0045, 'grad_norm': 0.10774849355220795, 'learning_rate': 1.8072289156626506e-06, 'epoch': 0.96}
{'loss': 0.0077, 'grad_norm': 0.0802270695567131, 'learning_rate': 1.2048192771084338e-06, 'epoch': 0.97}
{'loss': 0.0045, 'grad_norm': 0.24028921127319336, 'learning_rate': 6.024096385542169e-07, 'epoch': 0.98}
{'loss': 0.0049, 'grad_norm': 0.14509040117263794, 'learning_rate': 0.0, 'epoch': 0.99}
{'train_runtime': 42.2129, 'train_samples_per_second': 11.845, 'train_steps_per_second': 1.966, 'train_loss': 0.8686382705401854, 'epoch': 0.99}
[Rank 0] Training finished successfully.
[Rank 0] Saving final model...
[Rank 0] Model saved to ./output_model
