  0%|                                                                                                                                                   | 0/62 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                               
{'loss': 9.1869, 'grad_norm': 114.24483489990234, 'learning_rate': 4.9193548387096775e-05, 'epoch': 0.02}
{'loss': 0.0196, 'grad_norm': 0.20372281968593597, 'learning_rate': 1.6129032258064517e-05, 'epoch': 0.67}
{'loss': 0.0193, 'grad_norm': 0.3053304851055145, 'learning_rate': 1.5322580645161292e-05, 'epoch': 0.69}
{'loss': 0.0152, 'grad_norm': 0.25097110867500305, 'learning_rate': 1.4516129032258066e-05, 'epoch': 0.7}
{'loss': 0.0155, 'grad_norm': 0.2425076961517334, 'learning_rate': 1.3709677419354839e-05, 'epoch': 0.72}
{'loss': 0.0225, 'grad_norm': 0.16642002761363983, 'learning_rate': 1.2903225806451613e-05, 'epoch': 0.74}
{'loss': 0.0128, 'grad_norm': 0.19511248171329498, 'learning_rate': 1.2096774193548388e-05, 'epoch': 0.75}
{'loss': 0.0151, 'grad_norm': 0.15939968824386597, 'learning_rate': 1.129032258064516e-05, 'epoch': 0.77}
{'loss': 0.0089, 'grad_norm': 0.22598810493946075, 'learning_rate': 1.0483870967741936e-05, 'epoch': 0.78}
{'loss': 0.0154, 'grad_norm': 0.08265554904937744, 'learning_rate': 9.67741935483871e-06, 'epoch': 0.8}
{'loss': 0.0087, 'grad_norm': 0.15325988829135895, 'learning_rate': 8.870967741935484e-06, 'epoch': 0.82}
{'loss': 0.0085, 'grad_norm': 0.12231487780809402, 'learning_rate': 8.064516129032258e-06, 'epoch': 0.83}
{'loss': 0.0125, 'grad_norm': 0.12521089613437653, 'learning_rate': 7.258064516129033e-06, 'epoch': 0.85}
{'loss': 0.021, 'grad_norm': 0.1706458330154419, 'learning_rate': 6.451612903225806e-06, 'epoch': 0.86}
{'loss': 0.0075, 'grad_norm': 0.10717090964317322, 'learning_rate': 5.64516129032258e-06, 'epoch': 0.88}
{'loss': 0.0092, 'grad_norm': 0.09653574973344803, 'learning_rate': 4.838709677419355e-06, 'epoch': 0.9}
{'loss': 0.0123, 'grad_norm': 0.08956961333751678, 'learning_rate': 4.032258064516129e-06, 'epoch': 0.91}
{'loss': 0.0086, 'grad_norm': 0.15122611820697784, 'learning_rate': 3.225806451612903e-06, 'epoch': 0.93}
{'loss': 0.0103, 'grad_norm': 0.2971341609954834, 'learning_rate': 2.4193548387096776e-06, 'epoch': 0.94}
{'loss': 0.0136, 'grad_norm': 0.112089604139328, 'learning_rate': 1.6129032258064516e-06, 'epoch': 0.96}
{'loss': 0.0189, 'grad_norm': 0.33356034755706787, 'learning_rate': 8.064516129032258e-07, 'epoch': 0.98}
{'loss': 0.007, 'grad_norm': 0.13666027784347534, 'learning_rate': 0.0, 'epoch': 0.99}
{'train_runtime': 30.2032, 'train_samples_per_second': 16.555, 'train_steps_per_second': 2.053, 'train_loss': 1.2285652852527076, 'epoch': 0.99}
[Rank 0] Training finished successfully.
[Rank 0] Saving final model...
[Rank 0] Model saved to ./output_model
