  0%|                                                                                                                                  | 0/124 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                               
{'loss': 9.1869, 'grad_norm': 114.24483489990234, 'learning_rate': 4.959677419354839e-05, 'epoch': 0.02}
{'loss': 0.0124, 'grad_norm': 0.19522851705551147, 'learning_rate': 3.6290322580645165e-05, 'epoch': 0.54}
{'loss': 0.0213, 'grad_norm': 0.3338698148727417, 'learning_rate': 3.5887096774193555e-05, 'epoch': 0.56}
{'loss': 0.0103, 'grad_norm': 0.28962841629981995, 'learning_rate': 3.548387096774194e-05, 'epoch': 0.58}
{'loss': 0.0116, 'grad_norm': 0.12913574278354645, 'learning_rate': 3.508064516129033e-05, 'epoch': 0.59}
{'loss': 0.0142, 'grad_norm': 0.19814203679561615, 'learning_rate': 3.467741935483872e-05, 'epoch': 0.61}
{'loss': 0.0105, 'grad_norm': 0.1121295839548111, 'learning_rate': 3.427419354838709e-05, 'epoch': 0.62}
{'loss': 0.0108, 'grad_norm': 0.2996821105480194, 'learning_rate': 3.387096774193548e-05, 'epoch': 0.64}
{'loss': 0.0136, 'grad_norm': 0.19658632576465607, 'learning_rate': 3.346774193548387e-05, 'epoch': 0.66}
{'loss': 0.0139, 'grad_norm': 0.09620354324579239, 'learning_rate': 3.306451612903226e-05, 'epoch': 0.67}
{'loss': 0.0067, 'grad_norm': 0.1547403186559677, 'learning_rate': 3.2661290322580644e-05, 'epoch': 0.69}
{'loss': 0.0089, 'grad_norm': 0.2219514548778534, 'learning_rate': 3.2258064516129034e-05, 'epoch': 0.7}
{'loss': 0.0108, 'grad_norm': 0.0797593742609024, 'learning_rate': 3.185483870967742e-05, 'epoch': 0.72}
{'loss': 0.0143, 'grad_norm': 0.16911137104034424, 'learning_rate': 3.1451612903225806e-05, 'epoch': 0.74}
{'loss': 0.0064, 'grad_norm': 0.14211635291576385, 'learning_rate': 3.1048387096774195e-05, 'epoch': 0.75}
{'loss': 0.0109, 'grad_norm': 0.12391714751720428, 'learning_rate': 3.0645161290322585e-05, 'epoch': 0.77}
{'loss': 0.0038, 'grad_norm': 0.13403764367103577, 'learning_rate': 3.024193548387097e-05, 'epoch': 0.78}
{'loss': 0.012, 'grad_norm': 0.054692890495061874, 'learning_rate': 2.9838709677419357e-05, 'epoch': 0.8}
{'loss': 0.0043, 'grad_norm': 0.11887108534574509, 'learning_rate': 2.9435483870967743e-05, 'epoch': 0.82}
{'loss': 0.0045, 'grad_norm': 0.1068798080086708, 'learning_rate': 2.9032258064516133e-05, 'epoch': 0.83}
{'loss': 0.0096, 'grad_norm': 0.07649030536413193, 'learning_rate': 2.862903225806452e-05, 'epoch': 0.85}
{'loss': 0.0108, 'grad_norm': 0.14191707968711853, 'learning_rate': 2.822580645161291e-05, 'epoch': 0.86}
{'loss': 0.0032, 'grad_norm': 0.07436668872833252, 'learning_rate': 2.7822580645161288e-05, 'epoch': 0.88}
{'loss': 0.0045, 'grad_norm': 0.09593427181243896, 'learning_rate': 2.7419354838709678e-05, 'epoch': 0.9}
{'loss': 0.0094, 'grad_norm': 0.07060953229665756, 'learning_rate': 2.7016129032258064e-05, 'epoch': 0.91}
{'loss': 0.0029, 'grad_norm': 0.11617587506771088, 'learning_rate': 2.661290322580645e-05, 'epoch': 0.93}
{'loss': 0.0024, 'grad_norm': 0.1763959378004074, 'learning_rate': 2.620967741935484e-05, 'epoch': 0.94}
{'loss': 0.009, 'grad_norm': 0.07124777883291245, 'learning_rate': 2.5806451612903226e-05, 'epoch': 0.96}
{'loss': 0.0045, 'grad_norm': 0.2556030750274658, 'learning_rate': 2.5403225806451615e-05, 'epoch': 0.98}
{'loss': 0.002, 'grad_norm': 0.09816843271255493, 'learning_rate': 2.5e-05, 'epoch': 0.99}
{'loss': 0.0032, 'grad_norm': 0.09816843271255493, 'learning_rate': 2.5e-05, 'epoch': 1.0}
{'loss': 0.002, 'grad_norm': 0.20031751692295074, 'learning_rate': 2.4596774193548387e-05, 'epoch': 1.02}
{'loss': 0.0097, 'grad_norm': 0.09135594218969345, 'learning_rate': 2.4193548387096777e-05, 'epoch': 1.03}
{'loss': 0.0035, 'grad_norm': 0.1889948844909668, 'learning_rate': 2.3790322580645163e-05, 'epoch': 1.05}
{'loss': 0.001, 'grad_norm': 0.06325654685497284, 'learning_rate': 2.338709677419355e-05, 'epoch': 1.06}
{'loss': 0.0031, 'grad_norm': 0.14346560835838318, 'learning_rate': 2.2983870967741935e-05, 'epoch': 1.08}
{'loss': 0.0006, 'grad_norm': 0.03628946840763092, 'learning_rate': 2.258064516129032e-05, 'epoch': 1.1}
{'loss': 0.0007, 'grad_norm': 0.04005188122391701, 'learning_rate': 2.217741935483871e-05, 'epoch': 1.11}
{'loss': 0.001, 'grad_norm': 0.06175148859620094, 'learning_rate': 2.1774193548387097e-05, 'epoch': 1.13}
{'loss': 0.0146, 'grad_norm': 0.038885559886693954, 'learning_rate': 2.1370967741935487e-05, 'epoch': 1.14}
{'loss': 0.0008, 'grad_norm': 0.04723643884062767, 'learning_rate': 2.0967741935483873e-05, 'epoch': 1.16}
{'loss': 0.0069, 'grad_norm': 0.03830564022064209, 'learning_rate': 2.056451612903226e-05, 'epoch': 1.18}
{'loss': 0.0009, 'grad_norm': 0.07086695730686188, 'learning_rate': 2.0161290322580645e-05, 'epoch': 1.19}
{'loss': 0.0145, 'grad_norm': 0.03594168648123741, 'learning_rate': 1.975806451612903e-05, 'epoch': 1.21}
{'loss': 0.0006, 'grad_norm': 0.04247521609067917, 'learning_rate': 1.935483870967742e-05, 'epoch': 1.22}
{'loss': 0.0008, 'grad_norm': 0.05587830767035484, 'learning_rate': 1.8951612903225807e-05, 'epoch': 1.24}
{'loss': 0.0004, 'grad_norm': 0.05436672270298004, 'learning_rate': 1.8548387096774193e-05, 'epoch': 1.26}
{'loss': 0.0007, 'grad_norm': 0.03302017226815224, 'learning_rate': 1.8145161290322583e-05, 'epoch': 1.27}
{'loss': 0.001, 'grad_norm': 0.04215552657842636, 'learning_rate': 1.774193548387097e-05, 'epoch': 1.29}
{'loss': 0.0101, 'grad_norm': 0.3978804349899292, 'learning_rate': 1.733870967741936e-05, 'epoch': 1.3}
{'loss': 0.0013, 'grad_norm': 0.07786992937326431, 'learning_rate': 1.693548387096774e-05, 'epoch': 1.32}
{'loss': 0.0004, 'grad_norm': 0.07585738599300385, 'learning_rate': 1.653225806451613e-05, 'epoch': 1.34}
{'loss': 0.0068, 'grad_norm': 0.02528698556125164, 'learning_rate': 1.6129032258064517e-05, 'epoch': 1.35}
{'loss': 0.0004, 'grad_norm': 0.027261214330792427, 'learning_rate': 1.5725806451612903e-05, 'epoch': 1.37}
{'loss': 0.0004, 'grad_norm': 0.025293011218309402, 'learning_rate': 1.5322580645161292e-05, 'epoch': 1.38}
{'loss': 0.0004, 'grad_norm': 0.05356890708208084, 'learning_rate': 1.4919354838709679e-05, 'epoch': 1.4}
{'loss': 0.0005, 'grad_norm': 0.047645967453718185, 'learning_rate': 1.4516129032258066e-05, 'epoch': 1.42}
{'loss': 0.006, 'grad_norm': 0.06348743289709091, 'learning_rate': 1.4112903225806454e-05, 'epoch': 1.43}
{'loss': 0.0004, 'grad_norm': 0.04268950968980789, 'learning_rate': 1.3709677419354839e-05, 'epoch': 1.45}
{'loss': 0.0072, 'grad_norm': 0.026007959619164467, 'learning_rate': 1.3306451612903225e-05, 'epoch': 1.46}
{'loss': 0.0009, 'grad_norm': 0.08619032055139542, 'learning_rate': 1.2903225806451613e-05, 'epoch': 1.48}
{'loss': 0.0096, 'grad_norm': 0.0883568823337555, 'learning_rate': 1.25e-05, 'epoch': 1.5}
{'loss': 0.0066, 'grad_norm': 0.02442735619843006, 'learning_rate': 1.2096774193548388e-05, 'epoch': 1.51}
{'loss': 0.0006, 'grad_norm': 0.0911037027835846, 'learning_rate': 1.1693548387096775e-05, 'epoch': 1.53}
{'loss': 0.0003, 'grad_norm': 0.0658278539776802, 'learning_rate': 1.129032258064516e-05, 'epoch': 1.54}
{'loss': 0.0005, 'grad_norm': 0.019588150084018707, 'learning_rate': 1.0887096774193549e-05, 'epoch': 1.56}
{'loss': 0.0003, 'grad_norm': 0.03298820182681084, 'learning_rate': 1.0483870967741936e-05, 'epoch': 1.58}
{'loss': 0.0003, 'grad_norm': 0.021907716989517212, 'learning_rate': 1.0080645161290323e-05, 'epoch': 1.59}
{'loss': 0.0077, 'grad_norm': 0.014222072437405586, 'learning_rate': 9.67741935483871e-06, 'epoch': 1.61}
{'loss': 0.0087, 'grad_norm': 0.03164592385292053, 'learning_rate': 9.274193548387097e-06, 'epoch': 1.62}
{'loss': 0.0005, 'grad_norm': 0.017226528376340866, 'learning_rate': 8.870967741935484e-06, 'epoch': 1.64}
{'loss': 0.0004, 'grad_norm': 0.07679325342178345, 'learning_rate': 8.46774193548387e-06, 'epoch': 1.66}
{'loss': 0.0002, 'grad_norm': 0.024862226098775864, 'learning_rate': 8.064516129032258e-06, 'epoch': 1.67}
{'loss': 0.0002, 'grad_norm': 0.018976053223013878, 'learning_rate': 7.661290322580646e-06, 'epoch': 1.69}
{'loss': 0.0081, 'grad_norm': 0.037947650998830795, 'learning_rate': 7.258064516129033e-06, 'epoch': 1.7}
{'loss': 0.0086, 'grad_norm': 0.04103083163499832, 'learning_rate': 6.854838709677419e-06, 'epoch': 1.72}
{'loss': 0.0003, 'grad_norm': 0.020616425201296806, 'learning_rate': 6.451612903225806e-06, 'epoch': 1.74}
{'loss': 0.0057, 'grad_norm': 0.020803678780794144, 'learning_rate': 6.048387096774194e-06, 'epoch': 1.75}
{'loss': 0.0086, 'grad_norm': 0.014060834422707558, 'learning_rate': 5.64516129032258e-06, 'epoch': 1.77}
{'loss': 0.0003, 'grad_norm': 0.037377357482910156, 'learning_rate': 5.241935483870968e-06, 'epoch': 1.78}
{'loss': 0.0007, 'grad_norm': 0.0365464948117733, 'learning_rate': 4.838709677419355e-06, 'epoch': 1.8}
{'loss': 0.0059, 'grad_norm': 0.05544700101017952, 'learning_rate': 4.435483870967742e-06, 'epoch': 1.82}
{'loss': 0.0078, 'grad_norm': 0.061941973865032196, 'learning_rate': 4.032258064516129e-06, 'epoch': 1.83}
{'loss': 0.0002, 'grad_norm': 0.02783218026161194, 'learning_rate': 3.6290322580645166e-06, 'epoch': 1.85}
{'loss': 0.0008, 'grad_norm': 0.086563840508461, 'learning_rate': 3.225806451612903e-06, 'epoch': 1.86}
{'loss': 0.0002, 'grad_norm': 0.015494370833039284, 'learning_rate': 2.82258064516129e-06, 'epoch': 1.88}
{'loss': 0.0028, 'grad_norm': 0.02323657087981701, 'learning_rate': 2.4193548387096776e-06, 'epoch': 1.9}
{'loss': 0.0074, 'grad_norm': 0.15466611087322235, 'learning_rate': 2.0161290322580646e-06, 'epoch': 1.91}
{'loss': 0.0086, 'grad_norm': 0.05813717469573021, 'learning_rate': 1.6129032258064516e-06, 'epoch': 1.93}
{'loss': 0.0047, 'grad_norm': 0.012662934139370918, 'learning_rate': 1.2096774193548388e-06, 'epoch': 1.94}
{'loss': 0.0083, 'grad_norm': 0.08972015231847763, 'learning_rate': 8.064516129032258e-07, 'epoch': 1.96}
{'loss': 0.0002, 'grad_norm': 0.018282650038599968, 'learning_rate': 4.032258064516129e-07, 'epoch': 1.98}
{'train_runtime': 58.2638, 'train_samples_per_second': 17.163, 'train_steps_per_second': 2.128, 'train_loss': 0.5524407806288735, 'epoch': 1.98}
[Rank 0] Training finished successfully.
[Rank 0] Saving final model...
[Rank 0] Model saved to ./output_model
